customerTelephoneNumber,telephoneCustomerNum
0950532770,253
0950566155,743
0950624343,222
0950683052,646
0950977647,402
0951140509,147
0951162202,614
0951355278,275
0951438071,826
0951510304,208
0951598362,94
0951674043,1071
0951686519,839
0951695431,344
0951889012,186
0951968939,292
0951974951,267
0952000132,555
0952050711,321
0952348204,886
0952405635,433
0952978159,1334
0953109199,149
0953121511,212
0953140647,523
0953158325,43
0953309661,458
0953327761,136
0953360291,860
0953428285,489
0953567671,874
0953588510,785
0953652325,72
0953744659,661
0953895440,185
0954011733,817
0954029435,672
0954245523,797
0954325412,795
0954356239,189
0954380691,174
0954553706,787
0954618510,287
0954654678,242
0954773300,47
0954840455,743
0954850288,131
0954916240,32
0954949191,716
0955034188,245
0955149563,779
0955341911,309
0955443153,193
0955538538,1154
0955546311,193
0955566817,569
0955714313,543
0955870215,387
0955952516,76
0956008590,126
0956051022,863
0956206998,818
0956344615,205
0956845169,484
0956894330,422
0957059167,179
0957112882,588
0957173288,326
0957177617,336
0957210049,41
0957245062,196
0957386007,206
0957556230,201
0957805245,163
0958138571,64
0958187819,157
0958206443,610
0958260208,100
0958303674,67
0958401721,569
0958475989,304
0958578933,711
0958595565,1148
0958623347,59
0958732247,124
0958806786,433
0958849859,193
0958874771,181
0958952062,197
0959149702,133
0959158172,392
0959159698,122
0959233242,793
0959375886,381
0959435917,158
0959461094,646
0959503366,416
0959515307,352
0959516285,118
0959599938,7
0959615018,629
0959769792,538
0959876451,58
0959896024,122
0960080615,506
0960425827,461
0960429340,17
0960514151,374
0960567929,185
0960678749,98
0960729497,136
0960818526,794
0960928829,87
0960989442,517
0961128282,570
0961150976,954
0961174316,332
0961307923,72
0961348911,469
0961376872,380
0961384876,971
0961390411,458
0961701559,907
0961712089,391
0961783017,260
0961810211,187
0961811632,200
0961923885,523
0962120773,448
0962165138,251
0962167776,161
0962495092,361
0962592113,22
0962675081,1189
0962894933,30
0962951746,773
0963032537,217
0963066672,492
0963109068,341
0963268050,25
0963478012,412
0963823686,929
0963862252,129
0963951368,49
0964141125,179
0964273613,243
0964307293,280
0964309863,135
0964340964,765
0964363925,177
0964436466,826
0964641546,121
0964720539,156
0964730977,795
0964752153,340
0964774430,187
0964965444,287
0965032717,200
0965178690,116
0965290977,481
0965606766,123
0965682016,1103
0965774915,1244
0965956325,272
0966068887,179
0966086260,85
0966111427,106
0966111864,125
0966128055,311
0966157349,504
0966165497,584
0966215763,447
0966253080,112
0966254321,224
0966321897,430
0966595164,165
0966630659,663
0966634263,978
0966730622,962
0966815654,482
0967060298,733
0967171553,448
0967225816,198
0967510238,591
0967626922,126
0967656977,962
0967694233,595
0967717149,27
0967842920,92
0967901087,342
0967914495,41
0967931759,177
0967986421,153
0968008083,92
0968011954,1113
0968045445,1232
0968154503,399
0968293483,888
0968454236,230
0968584332,583
0968682114,40
0968715525,839
0968717767,573
0968759951,408
0968764961,23
0968766407,906
0968878345,67
0968888771,337
0968975546,306
0969419423,145
0969426639,185
0969471081,281
0969691834,361
0969715736,178
0969767249,1034
0969891856,681
0969989939,614
0970044570,57
0970200672,326
0970299276,219
0970436254,448
0970473566,109
0970481346,127
0970519822,190
0970521430,989
0970636897,293
0970789283,398
0970808427,477
0970812183,355
0970905597,773
0970965061,538
0970987430,258
0971233550,1124
0971257013,276
0971284020,162
0971378613,31
0971500890,648
0971626647,217
0971687342,721
0971737897,246
0971939455,53
0971951681,200
0972003408,648
0972165071,1071
0972165191,44
0972206314,349
0972243150,113
0972284453,131
0972287279,883
0972293045,197
0972333922,432
0972462072,538
0972727370,368
0972752967,859
0972801067,103
0972879513,1016
0972928318,106
0972959435,191
0972982256,191
0973020737,840
0973024395,913
0973131492,1047
0973177553,363
0973235084,369
0973274868,589
0973427677,428
0973670467,814
0973717390,488
0973724482,353
0973982011,653
0974103494,843
0974129334,253
0974205769,896
0974274565,57
0974612181,736
0974668804,89
0974748522,515
0974998036,41
0975073821,366
09751 608994,643
0975324755,27
0975388400,231
0975601514,1034
0975771264,119
0975811283,159
0975813324,49
0975833619,440
0975894800,168
0975940175,338
0976084728,338
0976095213,536
0976169045,402
0976174448,540
0976276105,500
0976462717,183
0976546338,353
0976593138,49
0976614934,31
0976911393,39
0976927982,110
0977259044,64
0977311490,19
0977358815,511
0977503777,959
0977515222,131
0977525750,427
0977526734,475
0977537703,560
0977659997,188
0977689464,878
0977787957,292
0977802857,30
0977920541,219
0977992240,69
0977996715,643
0978033422,152
0978242967,185
0978293606,830
0978315536,1178
0978540460,39
0978544632,402
0978660868,194
0978740797,33
0978929744,261
0978958923,397
0979301792,222
0979341874,205
0979451451,42
0979517044,315
0979527530,914
09796028293,488
0979797859,217
0979835465,49
0979948135,897
0980056479,153
0980113204,69
0980149610,333
0980196580,91
0980286336,442
0980300658,161
0980365975,897
0980426352,88
0980562676,459
0980608040,295
0980640699,998
0980718918,477
0981008575,19
0981026904,38
0981097873,366
0981219690,130
09813578728,220
0981458353,386
0981731451,19
0981929029,262
0982116214,73
0982417520,152
0982421275,366
0982451881,359
0982592907,419
0982845868,907
0982924629,63
0983088733,114
0983150213,510
0983224130,719
0983235281,531
0983290770,328
0983463131,264
0983477292,838
0983542837,472
0983826971,456
0983857514,52
0983904101,10
0983919631,630
0983998835,113
0984054747,252
0984124647,155
0984305966,363
0984343786,131
0984400930,107
0984813071,91
0984865233,765
0984903022,383
0984983667,490
0985011741,679
0985042380,896
0985208497,277
0985237787,587
0985278115,282
0985422610,54
0985483827,145
0985718197,633
0985736123,810
0985760044,231
0985975249,351
0985994255,154
0986075244,310
0986214113,37
0986585889,332
0986622178,908
0986645467,971
0986655328,341
0987132620,88
0987134651,403
0987205521,1018
09873399600,908
0987359754,207
0987751424,6
0987990373,851
0988037951,261
0988120529,914
0988259442,654
0988272468,147
0988304837,68
0988339300,188
0988492307,532
0988637476,82
0988646831,1195
0988793802,182
0988983607,670
0989044599,879
0989061903,315
0989425301,466
0990191405,282
0990200715,95
0990409758,515
0990440032,397
0990503746,489
0990549028,901
0990585019,394
0990668062,128
0991142629,139
0991207053,125
0991357102,134
0991522669,400
0991618779,217
0991686764,163
0991736729,187
0991890273,158
0992086205,238
0992127111,372
0992237944,1136
0992278090,60
0992350383,818
0992563790,643
0992587655,363
0992599765,134
0992609591,58
0992634966,169
0992796829,199
0993143517,498
0993274591,609
0993543992,483
0994093053,210
0994095040,454
0994208302,44
0994320247,599
0994412620,105
0994422276,155
0994495870,107
0994649523,159
0994755440,461
0995061920,20
0995591786,1017
0995890662,973
0996093576,144
0996107329,137
0996145320,226
0996224755,525
0996892432,874
0997143317,133
0997244525,46
0997428394,113
0997506483,200
0997541393,228
0997647903,950
0997670758,66
0997740165,81
0997857838,36
0997953464,282
0997977255,1131
0998013933,162
0998057006,14
0998094016,44
0998128053,117
0998177493,515
0998257952,570
0998608914,763
0998763367,63
0998812091,411
0998917019,50
0999144124,223
0999163324,711
0999227079,30
0999301676,42
0999388997,57
0999457570,166
0999503745,281
0999613965,686
0999661358,619
0999662404,814
0999666794,1084
0999667430,59
0999702197,249
0999723227,196
0999774042,513
0999786363,766
0999792231,680
0999863065,234
0999970091,680
0999980172,103
